GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Test data service,com.datengaertnerei.test.dataservice.phone,PhoneNumber,0,17,0,0,0,7,0,4,0,4
Test data service,com.datengaertnerei.test.dataservice.phone,PhoneGenerator,5,265,0,6,2,32,0,8,0,5
Test data service,com.datengaertnerei.test.dataservice,RestApiController,0,144,0,10,0,28,0,17,0,12
Test data service,com.datengaertnerei.test.dataservice,Bundle,0,38,0,0,0,16,0,11,0,11
Test data service,com.datengaertnerei.test.dataservice,DataServiceApplication,15,57,3,1,4,16,3,5,1,5
Test data service,com.datengaertnerei.test.dataservice.avatar,AvatarGenerator,0,29,0,2,0,9,0,3,0,2
Test data service,com.datengaertnerei.test.dataservice.bank,CreditCard,0,31,0,0,0,12,0,6,0,6
Test data service,com.datengaertnerei.test.dataservice.bank,BankGenerator,10,413,2,16,4,77,2,16,0,9
Test data service,com.datengaertnerei.test.dataservice.bank,BankAccount,0,24,0,0,0,10,0,7,0,7
Test data service,com.datengaertnerei.test.dataservice.bank,Bank,0,27,0,0,0,10,0,5,0,5
Test data service,com.datengaertnerei.test.dataservice.person,AddressSink,5,133,2,16,2,47,2,17,0,8
Test data service,com.datengaertnerei.test.dataservice.person,TaxIdGenerator,0,146,0,8,0,26,0,7,0,3
Test data service,com.datengaertnerei.test.dataservice.person,PostalAddress,20,96,6,0,5,33,4,16,1,16
Test data service,com.datengaertnerei.test.dataservice.person,AgeRange,0,27,0,0,0,5,0,1,0,1
Test data service,com.datengaertnerei.test.dataservice.person,OsmPbfAddressImportUtil,16,34,0,0,6,10,0,3,0,3
Test data service,com.datengaertnerei.test.dataservice.person,PersonGenerator,38,571,16,38,10,111,16,28,0,15
Test data service,com.datengaertnerei.test.dataservice.person,Person,4,92,0,0,2,32,1,18,1,18
